StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,A,B,C,D,E,F,G,Notes
2019-04-11 09:45:06,2019-04-11 09:46:05,IP Address,146.50.249.244,100,59,True,2019-04-11 09:46:06,R_2xLFJc51EEhv83j,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,13,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:46:08,2019-04-11 09:49:49,IP Address,146.50.249.244,100,220,True,2019-04-11 09:49:49,R_3fJKgO6fB7EX3Co,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,14,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:49:51,2019-04-11 09:50:37,IP Address,146.50.249.244,100,46,True,2019-04-11 09:50:37,R_dhxH8Zjd5wrI5Kp,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,15,Training set,No,No,No,No,No,No,Yes,
2019-04-11 09:50:39,2019-04-11 09:52:49,IP Address,146.50.249.244,100,130,True,2019-04-11 09:52:50,R_1lbnbOkOvlbocFd,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,16,Training set,No,No,No,Yes,No,No,No,
2019-04-11 09:52:51,2019-04-11 09:55:31,IP Address,146.50.249.244,100,159,True,2019-04-11 09:55:31,R_1rJGP8NSeixfLNQ,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,17,Training set,No,Yes,Yes,Yes,No,No,No,
2019-04-11 09:55:33,2019-04-11 09:57:02,IP Address,146.50.249.244,100,88,True,2019-04-11 09:57:02,R_24AenPVXF3Bl4xR,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,18,Training set,No,Yes,No,No,Yes,No,No,
2019-04-11 09:57:04,2019-04-11 09:58:09,IP Address,146.50.249.244,100,64,True,2019-04-11 09:58:09,R_10T5F9fpLSmUyGB,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,19,Training set,No,No,No,No,No,Yes,No,
2019-04-11 11:16:37,2019-04-11 11:25:26,IP Address,86.115.223.27,100,528,True,2019-04-11 11:25:26,R_1pQ0CKi8iA02eNk,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,0,Training set,Yes,Yes,No,No,No,No,No,
2019-04-11 11:25:31,2019-04-11 11:33:47,IP Address,86.115.223.27,100,495,True,2019-04-11 11:33:47,R_YPJNbFuXXm6Gxu9,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,1,Training set,No,Yes,No,No,No,No,No,"Rjabkov navodi da je zabrinutost Rusije takođe uzrokovana činjenicom da neke zemlje uvode promene u svoje doktrine, koje dovode do snižavanja praga za upotrebu nuklearnog oružja.  This statement could be interpreted as a borderline Anti-Western frame statment. "
2019-04-11 11:33:50,2019-04-11 11:38:00,IP Address,86.115.223.27,100,250,True,2019-04-11 11:38:01,R_3EMVd7j0MKWtcrl,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,2,Training set,Yes,Yes,No,No,No,No,No,
2019-04-11 11:38:04,2019-04-11 11:42:13,IP Address,86.115.223.27,100,248,True,2019-04-11 11:42:16,R_Pzcwa16RkkqLGaB,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,3,Training set,No,Yes,No,No,No,No,No,
2019-04-11 11:42:18,2019-04-11 11:46:24,IP Address,86.115.223.27,100,246,True,2019-04-11 11:46:24,R_2wtzv19z2c3fwen,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,4,Training set,No,Yes,No,No,Yes,Yes,No,
2019-04-11 12:02:32,2019-04-11 12:07:32,IP Address,86.115.223.27,100,300,True,2019-04-11 12:07:33,R_1JCmFXRdqhGYxYY,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,5,Training set,No,No,No,No,No,No,No,"Dodaje se da je izvršni direktor kompanije Čen rekao da će „Zijin“ ispuniti sva obećanja data srpskom narodu i da će kompanija premašiti predviđeni plan investicija, kao i da neće otpustiti nijednog radnika RTB Bor nakon preuzimanja.' indicates borderline presence of human interest frame. "
2019-04-11 12:07:38,2019-04-11 12:09:26,IP Address,86.115.223.27,100,107,True,2019-04-11 12:09:26,R_2QuqAPxQUBcmscw,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,6,Training set,No,Yes,No,No,Yes,No,No,
2019-04-11 12:09:29,2019-04-11 12:11:56,IP Address,86.115.223.27,100,146,True,2019-04-11 12:11:57,R_DIxt7kv6cqDvRyp,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,7,Training set,No,Yes,No,No,No,No,No,
2019-04-11 12:12:03,2019-04-11 12:16:08,IP Address,86.115.223.27,100,245,True,2019-04-11 12:16:09,R_1pSh2wkdk0ESbXH,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,8,Training set,Yes,Yes,No,No,Yes,No,No,
2019-04-11 12:16:12,2019-04-11 12:17:50,IP Address,86.115.223.27,100,97,True,2019-04-11 12:17:50,R_2DNAQEk9PtwxEQ8,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,9,Training set,No,Yes,No,No,No,No,No,
2019-04-11 12:17:54,2019-04-11 12:19:08,IP Address,86.115.223.27,100,73,True,2019-04-11 12:19:08,R_1IZ9qSLCFREClue,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,10,Training set,No,Yes,Yes,No,No,No,No,
2019-04-11 12:37:17,2019-04-11 12:42:55,IP Address,86.115.223.27,100,338,True,2019-04-11 12:42:56,R_2wSPYgGuWlj2eCG,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,11,Training set,No,Yes,No,No,No,No,No,
2019-04-11 12:43:00,2019-04-11 12:47:41,IP Address,86.115.223.27,100,281,True,2019-04-11 12:47:41,R_qPXDw1ZYVNClxBf,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,12,Training set,No,No,No,Yes,Yes,No,No,
2019-04-11 12:47:45,2019-04-11 12:49:47,IP Address,86.115.223.27,100,122,True,2019-04-11 12:49:47,R_1Hk5iSuHuLXLzi3,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,13,Training set,No,Yes,No,No,No,No,No,
2019-04-11 12:49:52,2019-04-11 12:53:02,IP Address,86.115.223.27,100,190,True,2019-04-11 12:53:02,R_1XM5vpUt8J0a9DX,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,14,Training set,No,Yes,No,No,No,No,No,
2019-04-11 12:53:05,2019-04-11 12:56:08,IP Address,86.115.223.27,100,183,True,2019-04-11 12:56:09,R_uz6uvmSUVQnpxmx,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,15,Training set,No,No,No,No,No,No,Yes,
2019-04-11 12:56:35,2019-04-11 13:00:41,IP Address,86.115.223.27,100,245,True,2019-04-11 13:00:42,R_2Pz1lqGDd5Pw13k,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,"TD ",16,Training set,No,No,No,No,No,No,No,A gde je tu Tači: Objavljene nadležnosti pregovaračkog tima Prištine' the title can be interpreted as a borderline presence of the Human interest frame.
2019-04-11 13:00:45,2019-04-11 13:05:50,IP Address,86.115.223.27,100,304,True,2019-04-11 13:05:50,R_3qO5ZXUP2Ini2PL,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,17,Training set,No,Yes,Yes,Yes,Yes,No,No,
2019-04-11 13:05:54,2019-04-11 13:07:06,IP Address,86.115.223.27,100,71,True,2019-04-11 13:07:06,R_3DjCIj1d8BAc253,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,18,Training set,No,No,No,No,Yes,No,No,
2019-04-11 13:07:10,2019-04-11 13:09:51,IP Address,86.115.223.27,100,161,True,2019-04-11 13:09:51,R_cFOspwDHn6DGJRT,,,,,60.2447967529296875,24.9911956787109375,anonymous,EN,TD,19,Training set,No,No,No,No,No,Yes,No,
2019-04-11 14:52:00,2019-04-11 15:05:13,IP Address,89.99.62.58,100,792,True,2019-04-11 15:05:13,R_2UWV5HRUHMl7WYs,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,0,Training set,Yes,Yes,No,No,No,No,No,
2019-04-11 15:05:17,2019-04-11 15:23:16,IP Address,89.99.62.58,100,1079,True,2019-04-11 15:23:16,R_1nPDlNA3QF9wFQv,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,1,Training set,Yes,Yes,No,No,No,No,No,"Anti western frame borderline, maybe? Talks about nuklearna petorka Koje clanice su I VB in Francuska I o tome da među njima nema poverenja. Ne pričaju o NATU, USA ili EU, ali ipak o neslaganju među njima.

Pro russian? Ali nema kontrasta specificno prema Westu, tako da vise ne, nego ja.
Rjabkov navodi da je zabrinutost Rusije takođe uzrokovana činjenicom da neke zemlje uvode promene u svoje doktrine, koje dovode do snižavanja praga za upotrebu nuklearnog oružja."
2019-04-11 15:23:19,2019-04-11 15:31:49,IP Address,89.99.62.58,100,509,True,2019-04-11 15:31:49,R_2eRonzk8Jyc9LZV,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,2,Training set,Yes,Yes,Yes,No,No,No,No,
2019-04-11 15:31:52,2019-04-11 15:34:06,IP Address,89.99.62.58,100,133,True,2019-04-11 15:34:06,R_1q4yeykVSSZqPWa,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,3,Training set,No,Yes,No,No,No,No,No,
2019-04-12 10:59:19,2019-04-12 11:05:31,IP Address,89.99.62.58,100,371,True,2019-04-12 11:05:31,R_2X57pdQ73dIdYfs,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,4,Training set,No,Yes,No,No,No,No,No,
2019-04-12 11:05:38,2019-04-12 11:15:13,IP Address,89.99.62.58,100,575,True,2019-04-12 11:15:14,R_5mSKJs5yUbJviQ9,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,5,Training set,Yes,No,No,No,No,No,No,
2019-04-12 11:15:16,2019-04-12 11:21:14,IP Address,89.99.62.58,100,358,True,2019-04-12 11:21:14,R_4Z9WFJde7Ljh3Et,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,6,Training set,Yes,Yes,Yes,No,No,No,No,
2019-04-12 11:21:24,2019-04-12 11:26:10,IP Address,89.99.62.58,100,286,True,2019-04-12 11:26:11,R_2DNW8mpUvnZYeGn,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,7,Training set,No,Yes,No,No,No,No,No,
2019-04-12 11:26:46,2019-04-12 11:30:11,IP Address,89.99.62.58,100,204,True,2019-04-12 11:30:11,R_1NtqQhSdcrpOOjZ,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,8,Training set,Yes,Yes,Yes,No,No,No,No,
2019-04-12 11:30:14,2019-04-12 11:39:19,IP Address,89.99.62.58,100,545,True,2019-04-12 11:39:20,R_31yIoUPGRtAzQBV,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,9,Training set,Yes,Yes,No,No,No,No,No,
2019-04-12 11:39:22,2019-04-12 11:41:31,IP Address,89.99.62.58,100,128,True,2019-04-12 11:41:31,R_efjhGxAG6JeubXr,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,10,Training set,Yes,Yes,Yes,No,No,No,No,
2019-04-12 11:41:34,2019-04-12 13:08:48,IP Address,89.99.62.58,100,5233,True,2019-04-12 13:08:48,R_cUV5lJXXH4gnzUZ,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,11,Training set,Yes,Yes,No,No,Yes,No,No,":, “Može ili da napravi zaokret od 180 stepeni u odnosu na svoj odmetnički kurs i ponaša se kao normalna zemlja, ili može da sedi i gleda kako mu se ekonomija ruši”, rekao je Pompeo. 
HUMAN INTEREST FRAME?"
2019-04-12 13:09:01,2019-04-12 13:21:30,IP Address,89.99.62.58,100,748,True,2019-04-12 13:21:30,R_s5NabTUdFHYC9X3,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,12,Training set,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"navodi „Ruski ekspres“, koji je u cilju osvetljavanja istine objavio ova dokumenta... pro russian + russian might??"
2019-04-12 13:21:55,2019-04-12 13:29:43,IP Address,89.99.62.58,100,467,True,2019-04-12 13:29:43,R_2VBXWRhsXkFfL7y,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,13,Training set,Yes,Yes,No,No,No,No,No,"Does it count if they include a quote of someone else doing so?
"
2019-04-12 13:29:45,2019-04-12 13:32:33,IP Address,89.99.62.58,100,168,True,2019-04-12 13:32:33,R_3F4lXHz22CZekW9,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,14,Training set,Yes,Yes,No,No,No,No,No,
2019-04-12 13:32:35,2019-04-12 13:35:18,IP Address,89.99.62.58,100,162,True,2019-04-12 13:35:18,R_1P5BLb0Z9TCdT8z,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,15,Training set,No,No,No,No,No,No,No,
2019-04-12 13:35:20,2019-04-12 13:38:24,IP Address,89.99.62.58,100,183,True,2019-04-12 13:38:24,R_1kOJohPB4QTtBYI,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,16,Training set,No,No,No,No,No,No,No,
2019-04-12 13:38:33,2019-04-12 13:47:45,IP Address,89.99.62.58,100,552,True,2019-04-12 13:47:45,R_uxJqXwMSFmcqR0t,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,17,Training set,Yes,Yes,No,Yes,No,No,No,"Why specifically is a moral message, moral frame?? Examples unrelated to religion needed maybe?"
2019-04-12 13:47:48,2019-04-12 13:52:13,IP Address,89.99.62.58,100,265,True,2019-04-12 13:52:14,R_2scFcLjqDmHk8CW,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,17,Training set,No,No,No,No,No,No,No,
2019-04-12 13:52:17,2019-04-12 13:55:50,IP Address,89.99.62.58,100,213,True,2019-04-12 13:55:51,R_1gRyAk8uFE8n4XQ,,,,,52.3639984130859375,4.89129638671875,anonymous,EN,SD,19,Training set,No,No,No,No,No,Yes,No,
2019-04-14 06:13:31,2019-04-14 06:19:02,IP Address,88.130.152.68,100,330,True,2019-04-14 06:19:02,R_RnbvHkdwtGvvVDj,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,0,Training set,No,Yes,Yes,No,No,No,No,
2019-04-14 06:19:13,2019-04-14 06:23:08,IP Address,88.130.152.68,100,234,True,2019-04-14 06:23:09,R_25sea2RFPfsUgKs,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,1,Training set,Yes,Yes,Yes,No,Yes,Yes,No,"The morality frame could be borderline - I'm not sure. The topic is nuclear weapons and doctrines which does connote standards/morals/norms. The Anti-Western frame is also borderline because it is not specified directly which Western actors, but the 'Nuclear Five' are listed. "
2019-04-14 06:23:10,2019-04-14 06:25:26,IP Address,88.130.152.68,100,135,True,2019-04-14 06:25:26,R_3ps6XfqX4EZfGd8,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,2,Training set,Yes,Yes,No,No,Yes,No,No,
2019-04-14 06:25:29,2019-04-14 06:26:14,IP Address,88.130.152.68,100,45,True,2019-04-14 06:26:14,R_3Gk3TG2uJrEG0pJ,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,3,Training set,No,Yes,No,No,No,No,No,
2019-04-14 06:26:16,2019-04-14 06:29:05,IP Address,88.130.152.68,100,168,True,2019-04-14 06:29:05,R_3oEHuIjXpnzhZSL,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,4,Training set,No,Yes,No,No,Yes,No,No,
2019-04-14 06:29:07,2019-04-14 06:30:07,IP Address,88.130.152.68,100,59,True,2019-04-14 06:30:07,R_s8e6b50ug4ufhpD,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,5,Training set,No,No,No,No,No,No,No,
2019-04-14 06:30:17,2019-04-14 06:35:51,IP Address,88.130.152.68,100,334,True,2019-04-14 06:35:51,R_2tD8TITFJTzpIxQ,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,6,Training set,Yes,Yes,No,No,Yes,No,No,
2019-04-14 06:35:56,2019-04-14 06:37:48,IP Address,88.130.152.68,100,111,True,2019-04-14 06:37:49,R_4SZUcspKvsHekLL,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,7,Training set,Yes,Yes,No,No,Yes,No,No,
2019-04-14 06:37:50,2019-04-14 06:39:18,IP Address,88.130.152.68,100,88,True,2019-04-14 06:39:18,R_1FJkg2G6le3Dipi,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,8,Training set,Yes,No,Yes,No,Yes,No,No,
2019-04-14 06:39:20,2019-04-14 06:40:18,IP Address,88.130.152.68,100,58,True,2019-04-14 06:40:19,R_3r0TeAWh2AlrdoK,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,9,Training set,Yes,No,Yes,No,Yes,No,No,
2019-04-14 06:40:25,2019-04-14 06:41:09,IP Address,88.130.152.68,100,43,True,2019-04-14 06:41:09,R_2OJAQiOzsgnZK3b,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,10,Training set,Yes,No,Yes,No,No,No,No,
2019-04-14 06:41:10,2019-04-14 06:42:43,IP Address,88.130.152.68,100,92,True,2019-04-14 06:42:43,R_2CDn8yUgt9HbTsv,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,11,Training set,Yes,Yes,Yes,No,Yes,No,No,
2019-04-14 06:42:44,2019-04-14 06:44:09,IP Address,88.130.152.68,100,84,True,2019-04-14 06:44:09,R_1jpHC94PBRnxdVZ,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,12,Training set,Yes,Yes,Yes,Yes,Yes,No,No,
2019-04-14 06:44:11,2019-04-14 06:45:37,IP Address,88.130.152.68,100,86,True,2019-04-14 06:45:38,R_svyg5BORb4V7a0x,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,13,Training set,Yes,No,No,No,Yes,No,No,
2019-04-14 06:45:39,2019-04-14 06:47:22,IP Address,88.130.152.68,100,103,True,2019-04-14 06:47:22,R_ebQSyV3QD7bOAQV,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,14,Training set,No,Yes,No,No,Yes,No,No,Not 100% sure about the Anti-Western frame but I'd argue that any reference in Eastern Europe to Western colonialism is an attempt at depicting the West as 'decadent' in one way or another
2019-04-14 06:47:24,2019-04-14 06:50:31,IP Address,88.130.152.68,100,187,True,2019-04-14 06:50:31,R_2fs0SiPSnWnbGuX,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,15,Training set,No,No,No,No,No,No,Yes,
2019-04-14 06:50:33,2019-04-14 06:51:48,IP Address,88.130.152.68,100,74,True,2019-04-14 06:51:48,R_3lJuuFVGbOJrutb,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,16,Training set,No,No,No,No,No,No,No,
2019-04-14 06:51:50,2019-04-14 06:57:03,IP Address,88.130.152.68,100,312,True,2019-04-14 06:57:03,R_rkaLsEXWauFHhh7,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,17,Training set,Yes,Yes,Yes,Yes,Yes,No,No,
2019-04-14 06:57:04,2019-04-14 06:57:48,IP Address,88.130.152.68,100,43,True,2019-04-14 06:57:48,R_PZ29SjXOchZe1l7,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,18,Training set,No,No,No,No,Yes,No,No,
2019-04-14 06:57:50,2019-04-14 06:58:55,IP Address,88.130.152.68,100,65,True,2019-04-14 06:58:56,R_1rek5zq6I6s2Nm1,,,,,53.5883026123046875,10.0897064208984375,anonymous,EN,MR,19,Training set,No,No,No,No,No,Yes,No,
2019-04-14 10:31:45,2019-04-14 11:13:02,IP Address,212.93.25.10,100,2476,True,2019-04-14 11:13:03,R_3nAbYF02iR0Mndn,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,0,Training set,No,Yes,No,No,No,No,No,
2019-04-14 11:13:11,2019-04-14 11:13:37,IP Address,212.93.25.10,100,25,True,2019-04-14 11:13:37,R_3RlUIKcpuv26v2q,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,1,Training set,No,Yes,No,No,Yes,No,Yes,
2019-04-14 11:13:41,2019-04-14 11:14:00,IP Address,212.93.25.10,100,18,True,2019-04-14 11:14:01,R_3jcbyRqMWyMr0zU,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,2,Training set,Yes,Yes,No,No,Yes,No,No,
2019-04-14 11:14:08,2019-04-14 11:15:20,IP Address,212.93.25.10,100,71,True,2019-04-14 11:15:20,R_2RVrjfG70oqo5X9,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,3,Training set,No,Yes,No,Yes,Yes,No,No,implied conflict btw Serbia and the US in Kosovo
2019-04-14 11:15:23,2019-04-14 11:16:06,IP Address,212.93.25.10,100,43,True,2019-04-14 11:16:06,R_aXCNiFqzT5woRUt,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,4,Training set,No,Yes,No,No,Yes,No,Yes,
2019-04-14 11:16:11,2019-04-14 11:16:26,IP Address,212.93.25.10,100,15,True,2019-04-14 11:16:27,R_1lxyF1X3nDUo9la,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,5,Training set,No,No,No,No,No,No,No,
2019-04-14 11:16:31,2019-04-14 11:16:49,IP Address,212.93.25.10,100,18,True,2019-04-14 11:16:50,R_25yZKl9bixqiU6w,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,6,Training set,No,Yes,No,No,No,No,No,
2019-04-14 11:16:55,2019-04-14 11:17:11,IP Address,212.93.25.10,100,16,True,2019-04-14 11:17:11,R_4M9NeO1mnyKso25,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,7,Training set,No,Yes,No,No,No,No,No,
2019-04-14 11:17:15,2019-04-14 11:17:31,IP Address,212.93.25.10,100,16,True,2019-04-14 11:17:31,R_31oOMcruwT31LqZ,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,8,Training set,No,No,No,No,Yes,No,No,
2019-04-14 11:17:36,2019-04-14 11:17:52,IP Address,212.93.25.10,100,16,True,2019-04-14 11:17:52,R_5iQXSdM7as5c2Zz,,,,,52.50250244140625,13.4011993408203125,anonymous,EN,DD,9,Training set,No,Yes,No,No,No,No,No,
